Gene,IR_039,IR_046,PD_016,IR_031,PD_021,IR_047,IR_002,PD_028,IR_050,IR_016,IR_019,PD_025,IR_027,PD_029,IR_020,HR_056,HR_063,PD_001,HR_048,PD_006,HR_064,HR_019,PD_013,HR_067,HR_033,HR_036,PD_010,HR_044,PD_014,HR_037
MATN2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
MATR3,667,436,2369,213,2062,508,2462,671,342,646,977,724,240,4474,603,656,0,1595,578,0,573,252,4653,0,652,705,963,323,0,527
MAU2,838,311,0,867,1896,554,215,6,902,169,686,0,538,38,488,363,0,360,464,0,325,550,168,0,388,127,0,242,0,896
MAVS,214,156,108,37,0,147,342,0,188,273,48,0,91,146,66,81,0,0,85,0,37,287,0,0,0,38,0,0,0,189
MAX,93,147,39,56,131,99,83,109,68,107,84,0,42,610,62,69,98,13,62,0,51,55,0,89,52,71,0,57,166,89
MAZ,366,299,472,353,0,448,602,208,444,386,276,536,479,0,118,294,0,1175,1302,0,465,200,0,0,189,85,0,0,0,180
MB,0,0,0,111,0,0,0,0,43,27,8,0,0,0,52,0,0,0,0,0,0,110,0,0,0,0,919,0,0,0
MB21D1,8,56,0,6,0,44,0,17,12,24,97,0,71,0,0,19,0,59,14,0,0,0,1,0,10,134,0,0,0,27
MB21D2,340,224,246,83,0,184,65,0,67,107,42,0,116,0,181,168,0,757,264,0,81,58,0,0,43,0,0,0,0,0
MBD1,517,733,842,414,440,1292,297,91,527,1195,286,1089,343,0,276,121,0,325,533,0,952,322,455,1308,303,125,0,0,2137,1603
MBD2,504,321,212,417,198,614,682,89,281,558,616,670,388,612,607,333,247,118,378,29,215,437,123,0,365,641,0,539,42,232
MBD3,16,0,164,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,499,0,148,0,0,79,0,0,0,0,0
MBD3L1,0,0,64,7,171,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD4,58,55,286,58,217,113,99,31,59,94,147,0,64,661,117,84,102,272,72,0,0,124,150,0,83,47,0,0,0,173
MBD5,15,0,0,20,0,0,0,0,112,0,17,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD6,13,14,49,25,41,46,5,15,26,15,29,0,32,0,28,11,0,2,17,0,3,20,7,0,9,0,0,0,1,2
